                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.77116,                0.55405,                0.94676,                0.50388,                0.61382,                0.50071,                0.36978,                0.93892,                 1.5843,                 1.0223,             0.00046226,             0.00046226,             0.00046226
                     75,                0.77945,                0.57576,                0.95066,                0.45893,                0.74344,                0.48266,                0.35152,                0.96865,                 1.3735,                 1.0328,             0.00044576,             0.00044576,             0.00044576
                     76,                0.75959,                 0.5938,                0.94008,                0.41847,                0.72129,                0.47748,                0.35666,                0.94187,                 1.5829,                 1.0336,             0.00042925,             0.00042925,             0.00042925
                     77,                0.75936,                0.57027,                0.93033,                0.44112,                0.74492,                0.49539,                0.36544,                0.96038,                 1.8164,                 1.0391,             0.00041275,             0.00041275,             0.00041275
                     78,                0.75442,                0.55322,                0.93578,                0.49687,                0.65599,                0.51345,                0.37777,                0.94406,                 1.3974,                 1.0364,             0.00039625,             0.00039625,             0.00039625
                     79,                0.75759,                 0.5494,                0.94871,                0.42566,                0.71914,                0.44578,                0.32712,                0.96964,                 1.8523,                 1.0395,             0.00037974,             0.00037974,             0.00037974
                     80,                0.73926,                0.52593,                0.94134,                0.47098,                0.67335,                 0.5076,                0.37684,                0.95099,                 1.6453,                  1.027,             0.00036324,             0.00036324,             0.00036324
                     81,                0.73336,                0.54152,                0.93766,                0.44229,                0.74903,                0.49161,                0.36481,                0.96955,                  1.735,                 1.0518,             0.00034674,             0.00034674,             0.00034674
                     82,                0.74654,                 0.5323,                0.93547,                0.40817,                0.69905,                0.42458,                0.31516,                0.94621,                 1.7665,                 1.0443,             0.00033023,             0.00033023,             0.00033023
                     83,                0.72041,                0.50011,                0.92807,                0.42741,                0.73431,                0.46817,                0.35395,                 0.9547,                 1.7943,                 1.0324,             0.00031373,             0.00031373,             0.00031373
                     84,                0.73734,                0.52036,                0.92883,                0.44371,                0.69175,                0.46177,                0.34542,                0.96916,                 1.7216,                 1.0394,             0.00029723,             0.00029723,             0.00029723
                     85,                0.71817,                0.52261,                0.92156,                0.42766,                0.69126,                0.46249,                0.34096,                0.96316,                 1.8761,                 1.0462,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.7239,                 0.4943,                0.92234,                0.44102,                0.67704,                0.49559,                0.37164,                0.95747,                 1.9597,                 1.0561,             0.00026422,             0.00026422,             0.00026422
                     87,                0.72576,                0.50461,                0.92384,                 0.4525,                 0.6962,                0.47527,                0.34856,                0.97719,                 1.8263,                 1.0495,             0.00024772,             0.00024772,             0.00024772
                     88,                0.70857,                0.49165,                0.93016,                0.47666,                0.68896,                0.53075,                0.40069,                0.94913,                 1.5589,                 1.0172,             0.00023121,             0.00023121,             0.00023121
                     89,                0.72987,                0.50424,                0.93271,                0.43935,                0.71708,                0.49407,                0.37191,                0.93249,                 1.8719,                 1.0215,             0.00021471,             0.00021471,             0.00021471
                     90,                0.70574,                0.50742,                0.92364,                0.42587,                 0.7117,                0.48512,                0.36131,                0.97263,                 1.8243,                 1.0547,             0.00019821,             0.00019821,             0.00019821
                     91,                0.65237,                0.41634,                0.89251,                0.47699,                0.70968,                0.49307,                0.36977,                0.96126,                 1.6642,                 1.0358,              0.0001817,              0.0001817,              0.0001817
                     92,                 0.6371,                0.39679,                 0.8853,                0.44065,                0.73728,                0.48347,                0.35992,                0.97538,                 1.6538,                 1.0473,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.6353,                0.37294,                0.88799,                0.44926,                0.71324,                0.51004,                0.38755,                0.95346,                 1.7216,                 1.0328,              0.0001487,              0.0001487,              0.0001487
                     94,                0.61082,                0.36701,                0.86936,                0.44996,                0.73548,                0.49744,                0.37442,                0.96682,                 1.7881,                 1.0436,             0.00013219,             0.00013219,             0.00013219
                     95,                0.61697,                0.36804,                0.88287,                0.44578,                0.73729,                0.48202,                0.35829,                0.97324,                 1.7857,                  1.059,             0.00011569,             0.00011569,             0.00011569
                     96,                0.61867,                 0.3651,                0.87931,                0.44178,                0.71193,                0.47826,                0.35884,                0.96544,                   1.83,                 1.0538,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.60399,                0.35594,                0.86953,                0.46079,                0.71048,                0.48512,                0.35907,                0.99033,                 1.6969,                 1.0666,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.60249,                0.34395,                0.87779,                0.45367,                0.72772,                0.48945,                0.36671,                0.98106,                 1.8009,                 1.0576,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.60169,                0.34394,                0.86784,                0.45696,                0.71175,                0.48947,                0.37036,                0.97988,                 1.8889,                 1.0629,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.59724,                0.33481,                0.87366,                0.45314,                0.73347,                0.49531,                0.37045,                0.98067,                 1.7775,                 1.0633,             3.3173e-05,             3.3173e-05,             3.3173e-05
